,"Tube in -	Petit_Complexe	-	2012.09.27 13:25:11","Tube in -	Petit_Complexe	-	2012.09.27 13:25:03","Tube in -	Petit_Complexe	-	2012.09.27 13:31:05","Tube in -	Petit_Complexe	-	2012.09.27 13:30:56","Tube in -	Petit_Complexe	-	2012.09.27 13:33:33","Tube in -	Petit_Complexe	-	2012.09.27 13:33:26","Tube in -	Petit_Complexe	-	2012.09.27 13:34:47","Tube in -	Petit_Complexe	-	2012.09.27 13:34:40","Tube in -	Petit_Complexe	-	2012.09.27 13:36:44","Tube in -	Petit_Complexe	-	2012.09.27 13:36:38","Tube in -	Petit_Complexe	-	2012.09.27 13:38:28","Tube in -	Petit_Complexe	-	2012.09.27 13:38:20","Tube in -	Petit_Complexe	-	2012.09.27 13:40:55","Tube in -	Petit_Complexe	-	2012.09.27 13:40:48","Tube in -	Petit_Complexe	-	2012.09.27 13:42:10","Tube in -	Petit_Complexe	-	2012.09.27 13:42:03","Tube in -	Petit_Complexe	-	2012.09.27 13:45:51","Tube in -	Petit_Complexe	-	2012.09.27 13:45:45","Tube in -	Petit_Complexe	-	2012.09.27 13:47:51","Tube in -	Petit_Complexe	-	2012.09.27 13:47:43","Tube in -	Petit_Complexe	-	2012.09.27 13:49:10","Tube in -	Petit_Complexe	-	2012.09.27 13:49:03","Tube in -	Petit_Complexe	-	2012.09.27 16:57:15","Tube in -	Petit_Complexe	-	2012.09.27 16:57:09"
Freq,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data
20,21.49909782,29.26205635,17.68929291,18.78041458,14.37970734,9.160975456,12.18351555,13.30174732,13.08782768,13.48315334,13.91398907,15.17433167,14.00448227,15.64266205,19.60334969,20.10028648,23.54116631,10.35231781,20.53943825,14.04081631,22.61266899,21.22764015,24.74946213,18.18572998
20.5,23.20628929,25.16671371,16.8402462,17.7825489,14.06141281,11.83698177,12.74947739,13.45697594,12.91102314,13.29034424,13.95794296,15.33154011,14.29758835,15.59962463,18.99926567,19.56492424,22.02986336,15.77558708,18.429039,8.555287361,20.89495659,19.96201324,23.61112595,17.83734703
21,27.36010742,22.54222488,16.1441288,17.01721954,13.43622971,14.96254253,12.586833,13.16643333,12.54548359,12.87401104,13.73982334,14.98087597,14.13706017,15.10573959,18.39625931,18.81434822,20.57834435,27.81471634,17.42683411,41.10970688,18.97108078,18.41671562,22.53458977,17.40681458
21.5,27.53641701,20.12146759,15.20544052,16.03014183,12.73475742,16.59020233,11.93451691,12.40364361,12.12068653,12.40523052,13.29238319,14.73917866,13.77183342,14.45044613,17.48153114,18.07001495,18.66074181,24.78527832,16.20073318,28.25602341,17.25018501,17.02612686,21.46090126,16.90718842
22,26.28153801,18.5224762,14.58098698,15.43384743,12.27179718,9.399411201,11.526577,12.01677704,12.01080608,12.24214649,13.03102493,14.72541428,13.64726353,14.12514591,16.98487473,17.65703201,17.53627586,25.14754105,15.26787376,25.57478333,16.16255188,16.08081818,20.64226151,16.54949951
22.5,21.95452499,17.66873932,14.19261646,15.00161648,12.07811356,12.25851822,11.41327953,11.95554829,11.93003368,12.12599277,13.05286407,15.00376606,13.51629734,13.82003212,16.61147308,17.31746674,16.85747147,19.5404644,14.79756355,19.38559914,15.63761425,15.64535427,20.23009109,16.44996262
23,19.73244858,16.93394279,14.09876537,14.71367455,11.99343586,13.06907463,11.32040119,11.91714859,12.01923561,12.3034544,13.15581989,15.34320164,13.5918684,13.70325089,16.37385178,17.06332779,16.61387444,19.45813942,14.44943428,18.65626907,15.37859154,15.44424057,19.8387928,16.35009575
23.5,17.32690239,16.59627342,13.99570656,14.47316742,12.06592751,13.0928421,11.4756279,12.08527279,12.35963631,12.55772781,13.3877573,15.80662632,13.92349339,13.88829422,16.14350128,16.79580688,16.51171112,19.30138206,14.45358467,15.54502296,15.26535702,15.37179756,19.60064316,16.3637085
24,14.59772301,16.30872917,13.98622894,14.33655453,12.13023663,12.80080605,11.81962395,12.45248127,12.79783726,12.93442631,13.55519009,16.12950897,14.03797817,13.83302212,16.05134201,16.6648922,16.51221657,18.832201,14.60298538,15.25984764,15.1288147,15.28479576,19.54756737,16.5392704
24.5,17.80815315,16.16202736,14.04739189,14.31404686,12.3403635,13.74467182,12.19740868,12.76812077,13.04985142,13.16449928,13.64472485,16.32148552,14.29281807,13.91956615,16.06113625,16.61766243,16.33279991,14.99638367,14.75677872,14.48198223,15.14414215,15.32943726,19.45510292,16.67788124
25,18.22924042,15.72194672,13.8856535,14.08793831,12.38273907,15.06110477,12.31951046,12.98600864,13.06483078,13.15746689,13.84036541,16.48687744,14.29689789,13.74353504,15.98047829,16.46830368,16.22872925,17.98587608,14.88137627,15.08170128,15.06777954,15.2594614,19.16895866,16.66337204
25.5,18.79037094,15.21317291,13.65438461,13.80783272,12.36725235,14.51190948,12.37110806,13.1206789,13.0821104,13.1632061,13.91237736,16.47605896,14.43762398,13.70908642,15.86863232,16.27323723,15.99051762,20.34718513,14.71457195,16.10924721,14.76096439,14.98546982,18.80934334,16.58877563
26,17.83017921,14.6184473,13.3716898,13.49274158,12.31222153,13.83440208,12.4013834,13.24299908,13.20760441,13.29126072,13.83314323,16.21648216,14.48941422,13.60168076,15.64917564,15.97270203,15.68956852,19.43366623,14.81152725,17.72580147,14.40292263,14.6687746,18.34448051,16.42070198
26.5,14.92881775,14.04702854,12.95977783,13.06350136,12.16522789,15.26542473,12.19149208,13.09704685,13.27055836,13.36414528,13.71166134,15.93875504,14.2146101,13.31444645,15.26097393,15.54929733,15.12410069,14.81263447,14.61690426,11.30939674,14.00072479,14.28633022,17.86678886,16.25014687
27,12.34562969,13.40071487,12.59417629,12.66115665,11.93155479,10.19569492,12.07881641,13.03191853,13.055233,13.15859413,13.52812958,15.54644012,14.00300312,13.02933884,14.69462395,14.91166592,14.60552025,12.86418915,14.38634014,10.8286438,13.53566456,13.8485651,17.31883812,15.99816895
27.5,9.584412575,12.8724966,12.19954681,12.25579166,11.75605583,7.548340797,11.88965988,12.90851307,12.97890949,13.08092403,13.38114166,15.32234955,13.7913847,12.79629517,14.27521229,14.42916584,14.00682068,10.58896923,14.06760693,8.73048687,13.22875786,13.52804947,16.83183098,15.81607437
28,9.445541382,12.44934559,11.93652534,11.9929018,11.68669415,8.492083549,11.93889713,12.92430305,12.92442417,13.04955769,13.31506824,15.18009853,13.53636074,12.55065823,13.91169834,13.99454117,13.59059811,9.354328156,14.07501602,8.880497932,12.96260643,13.26354694,16.45626068,15.7311964
28.5,9.241732597,12.15980053,11.78730106,11.84354305,11.77383995,9.32522583,12.06248856,13.00818539,12.90072632,13.03088093,13.20570469,14.97529316,13.38202667,12.33957672,13.63958263,13.65066814,13.49375343,8.158041,14.08106136,8.660311699,12.86186123,13.13562489,16.15514374,15.69379902
29,8.137218475,12.01366234,11.80477047,11.87057972,12.01212692,12.91386986,12.29143047,13.19649696,12.99672413,13.14042473,13.22872543,14.97835732,13.4677124,12.36415005,13.45508862,13.29187775,13.43059158,9.554614067,14.1681118,8.581446648,12.8968811,13.13366222,16.04913139,15.83438587
29.5,8.34015274,12.02338791,11.80228043,11.87972546,12.28154087,13.24816322,12.71637058,13.51683331,13.25100613,13.43307781,9.32233429,14.84769535,13.49972534,12.34963417,13.3068428,13.12953091,13.47452545,11.87909412,14.44614887,10.35472012,13.14985657,13.34521389,16.00034523,16.0375309
30,11.19049549,11.97423267,12.02995396,12.12563229,12.60335064,13.59856415,13.09542751,13.81132221,13.2984705,13.53867912,15.44184971,14.72402573,13.49740601,12.30956459,13.19869709,12.98186684,13.5163784,14.99777603,14.74525738,19.06337166,13.25906658,13.41766739,15.93164158,16.19804001
